,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,"4,452,173","4,467,634","4,480,089","4,503,491","4,530,729","4,569,805","4,628,981","4,672,840","4,718,206","4,757,938","4,785,492","4,799,918","4,815,960","4,829,479","4,843,214","4,853,875","4,863,300"
Alaska,"627,963","633,714","642,337","648,414","659,286","666,946","675,302","680,300","687,455","698,895","714,031","722,713","731,089","736,879","736,705","737,709","741,894"
Arizona,"5,160,586","5,273,477","5,396,255","5,510,364","5,652,404","5,839,077","6,029,141","6,167,681","6,280,362","6,343,154","6,408,312","6,467,163","6,549,634","6,624,617","6,719,993","6,817,565","6,931,071"
Arkansas,"2,678,588","2,691,571","2,705,927","2,724,816","2,749,686","2,781,097","2,821,761","2,848,650","2,874,554","2,896,843","2,921,995","2,939,493","2,950,685","2,958,663","2,966,912","2,977,853","2,988,248"
California,"33,987,977","34,479,458","34,871,843","35,253,159","35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229","37,332,685","37,676,861","38,011,074","38,335,203","38,680,810","38,993,940","39,250,017"
Colorado,"4,326,921","4,425,687","4,490,406","4,528,732","4,575,013","4,631,888","4,720,423","4,803,868","4,889,730","4,972,195","5,048,644","5,118,360","5,189,867","5,267,603","5,349,648","5,448,819","5,540,545"
Connecticut,"3,411,777","3,432,835","3,458,749","3,484,336","3,496,094","3,506,956","3,517,460","3,527,270","3,545,579","3,561,807","3,579,899","3,589,893","3,593,795","3,596,003","3,591,873","3,584,730","3,576,452"
Delaware,"786,373","795,699","806,169","818,003","830,803","845,150","859,268","871,749","883,874","891,730","899,816","907,924","916,993","925,395","934,948","944,076","952,065"
Washington DC,"572,046","574,504","573,158","568,502","567,754","567,136","570,681","574,404","580,236","592,228","605,183","620,477","635,327","649,165","659,005","670,377","681,170"
Florida,"16,047,515","16,356,966","16,689,370","17,004,085","17,415,318","17,842,038","18,166,990","18,367,842","18,527,305","18,652,644","18,849,098","19,096,952","19,344,156","19,582,022","19,888,741","20,244,914","20,612,439"
Georgia,"8,227,303","8,377,038","8,508,256","8,622,793","8,769,252","8,925,922","9,155,813","9,349,988","9,504,843","9,620,846","9,713,521","9,811,610","9,914,668","9,984,938","10,087,231","10,199,398","10,310,371"
Hawaii,"1,213,519","1,225,948","1,239,613","1,251,154","1,273,569","1,292,729","1,309,731","1,315,675","1,332,213","1,346,717","1,363,945","1,377,864","1,391,820","1,406,481","1,416,349","1,425,157","1,428,557"
Idaho,"1,299,430","1,319,962","1,340,372","1,363,380","1,391,802","1,428,241","1,468,669","1,505,105","1,534,320","1,554,439","1,571,010","1,584,143","1,595,911","1,612,011","1,633,532","1,652,828","1,683,140"
Illinois,"12,434,161","12,488,445","12,525,556","12,556,006","12,589,773","12,609,903","12,643,955","12,695,866","12,747,038","12,796,778","12,841,578","12,860,012","12,870,798","12,879,505","12,867,544","12,839,047","12,801,539"
Indiana,"6,091,866","6,127,760","6,155,967","6,196,638","6,233,007","6,278,616","6,332,669","6,379,599","6,424,806","6,459,325","6,490,528","6,516,480","6,537,743","6,569,102","6,595,233","6,612,768","6,633,053"
Iowa,"2,929,067","2,931,997","2,934,234","2,941,999","2,953,635","2,964,454","2,982,644","2,999,212","3,016,734","3,032,870","3,050,738","3,065,223","3,076,310","3,091,930","3,108,030","3,121,997","3,134,693"
Kansas,"2,693,681","2,702,162","2,713,535","2,723,004","2,734,373","2,745,299","2,762,931","2,783,785","2,808,076","2,832,704","2,858,850","2,869,503","2,885,262","2,892,821","2,899,360","2,906,721","2,907,289"
Kentucky,"4,049,021","4,068,132","4,089,875","4,117,170","4,146,101","4,182,742","4,219,239","4,256,672","4,289,878","4,317,074","4,348,662","4,369,354","4,384,799","4,400,477","4,413,057","4,424,611","4,436,974"
Louisiana,"4,471,885","4,477,875","4,497,267","4,521,042","4,552,238","4,576,628","4,302,665","4,375,581","4,435,586","4,491,648","4,544,996","4,575,404","4,603,429","4,626,402","4,647,880","4,668,960","4,681,666"
Maine,"1,277,072","1,285,692","1,295,960","1,306,513","1,313,688","1,318,787","1,323,619","1,327,040","1,330,509","1,329,590","1,327,730","1,328,231","1,328,895","1,329,076","1,330,719","1,329,453","1,331,479"
Maryland,"5,311,034","5,374,691","5,440,389","5,496,269","5,546,935","5,592,379","5,627,367","5,653,408","5,684,965","5,730,388","5,788,584","5,843,603","5,889,651","5,931,129","5,967,295","5,994,983","6,016,447"
Massachusetts,"6,361,104","6,397,634","6,417,206","6,422,565","6,412,281","6,403,290","6,410,084","6,431,559","6,468,967","6,517,613","6,565,524","6,611,923","6,658,008","6,706,786","6,749,911","6,784,240","6,811,779"
Michigan,"9,952,450","9,991,120","10,015,710","10,041,152","10,055,315","10,051,137","10,036,081","10,001,284","9,946,889","9,901,591","9,877,495","9,876,213","9,887,238","9,898,982","9,915,767","9,917,715","9,928,300"
Minnesota,"4,933,692","4,982,796","5,018,935","5,053,572","5,087,713","5,119,598","5,163,555","5,207,203","5,247,018","5,281,203","5,311,147","5,348,562","5,380,285","5,418,521","5,453,109","5,482,435","5,519,952"
Mississippi,"2,848,353","2,852,994","2,858,681","2,868,312","2,889,010","2,905,943","2,904,978","2,928,350","2,947,806","2,958,774","2,970,322","2,978,162","2,984,945","2,990,482","2,992,400","2,989,390","2,988,726"
Missouri,"5,607,285","5,641,142","5,674,825","5,709,403","5,747,741","5,790,300","5,842,704","5,887,612","5,923,916","5,961,088","5,996,118","6,010,717","6,025,415","6,042,711","6,060,930","6,076,204","6,093,000"
Montana,"903,773","906,961","911,667","919,630","930,009","940,102","952,692","964,706","976,415","983,982","990,641","997,821","1,005,196","1,014,314","1,022,867","1,032,073","1,042,520"
